[22-Feb-2024 09:59:51 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 09:59:51 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:00:10 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:00:10 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:02:57 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:02:57 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:05:37 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:05:37 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:05:47 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:05:47 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:09:11 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:09:11 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
